Title,Reference number,Published,Last updated
Coban 2 for venous leg ulcers,MIB140,16-Feb-18,16-Feb-18
Aortic valve reconstruction with processed bovine pericardium,IPG604,14-Feb-18,14-Feb-18
Mental health of adults in contact with the criminal justice system,QS163,09-Feb-18,09-Feb-18
Parkinson's disease,QS164,09-Feb-18,09-Feb-18
Raloxifene for the primary prevention of osteoporotic fragility fractures in postmenopausal women,TA160,27-Oct-08,07-Feb-18
Raloxifene and teriparatide for the secondary prevention of osteoporotic fragility fractures in postmenopausal women,TA161,27-Oct-08,07-Feb-18
Strimvelis for treating adenosine deaminase deficiency–severe combined immunodeficiency,HST7,07-Feb-18,07-Feb-18
Pancreatic cancer in adults: diagnosis and management,NG85,07-Feb-18,07-Feb-18
Atrial fibrillation,QS93,09-Jul-15,07-Feb-18
Pirfenidone for treating idiopathic pulmonary fibrosis,TA504,06-Feb-18,06-Feb-18
Intrabeam radiotherapy system for adjuvant treatment of early breast cancer,TA501,31-Jan-18,31-Jan-18
Ibrutinib for treating relapsed or refractory mantle cell lymphoma,TA502,31-Jan-18,31-Jan-18
Fulvestrant for untreated locally advanced or metastatic oestrogen-receptor positive breast cancer,TA503,31-Jan-18,31-Jan-18
EpiFix for chronic wounds,MIB139,30-Jan-18,30-Jan-18
Minimally invasive percutaneous nephrolitholapaxy medium (MIP-M) for removing kidney stones,MIB138,26-Jan-18,26-Jan-18
Sore throat (acute): antimicrobial prescribing,NG84,26-Jan-18,26-Jan-18
Lenvatinib with everolimus for previously treated advanced renal cell carcinoma,TA498,24-Jan-18,24-Jan-18
Glecaprevir–pibrentasvir for treating chronic hepatitis C,TA499,24-Jan-18,24-Jan-18
Ceritinib for untreated ALK-positive non-small-cell lung cancer,TA500,24-Jan-18,24-Jan-18
Age-related macular degeneration,NG82,23-Jan-18,23-Jan-18
MammaTyper in vitro diagnostic test for determining breast cancer subtypes,MIB135,18-Jan-18,18-Jan-18
Plasma EGFR mutation tests for adults with locally advanced or metastatic non-small-cell lung cancer,MIB137,18-Jan-18,18-Jan-18
TYM smartphone otoscope for imaging and videoing the external ear canal and eardrum,MIB134,11-Jan-18,11-Jan-18
Golimumab for treating non-radiographic axial spondyloarthritis,TA497,10-Jan-18,10-Jan-18
Next-generation sequencing panel for solid tumour cancers in children,MIB133,08-Jan-18,08-Jan-18
"Palbociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",TA495,20-Dec-17,20-Dec-17
"Ribociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",TA496,20-Dec-17,20-Dec-17
"Autism spectrum disorder in under 19s: recognition, referral and diagnosis",CG128,28-Sep-11,20-Dec-17
Endobronchial valve insertion to reduce lung volume in emphysema,IPG600,20-Dec-17,20-Dec-17
Transcutaneous microwave ablation for severe primary axillary hyperhidrosis,IPG601,20-Dec-17,20-Dec-17
Artificial heart implantation as a bridge to transplantation for end-stage refractory biventricular heart failure,IPG602,20-Dec-17,20-Dec-17
Subcutaneous implantable cardioverter defibrillator insertion for preventing sudden cardiac death,IPG603,20-Dec-17,20-Dec-17
Atrial fibrillation and heart valve disease: self-monitoring coagulation status using point-of-care coagulometers (the CoaguChek XS system),DG14,24-Sep-14,19-Dec-17
Transvaginal mesh repair of anterior or posterior vaginal wall prolapse,IPG599,15-Dec-17,15-Dec-17
Naltrexone–bupropion for managing overweight and obesity,TA494,12-Dec-17,12-Dec-17
Suspected cancer,QS124,30-Jun-16,05-Dec-17
Point-of-care and home faecal calprotectin tests for monitoring treatment response in inflammatory bowel disease,MIB132,04-Dec-17,04-Dec-17
Vismodegib for treating basal cell carcinoma,TA489,22-Nov-17,22-Nov-17
Processed nerve allografts to repair peripheral nerve discontinuities,IPG597,22-Nov-17,22-Nov-17
Hypoglossal nerve stimulation for moderate to severe obstructive sleep apnoea,IPG598,22-Nov-17,22-Nov-17
Trastuzumab emtansine for treating HER2-positive advanced breast cancer after trastuzumab and a taxane,TA458,19-Jul-17,20-Nov-17
Regorafenib for previously treated unresectable or metastatic gastrointestinal stromal tumours,TA488,15-Nov-17,15-Nov-17
Tests in secondary care to identify people at high risk of ovarian cancer,DG31,15-Nov-17,15-Nov-17
Total distal radioulnar joint replacement for symptomatic joint instability or arthritis,IPG595,08-Nov-17,08-Nov-17
Extracranial to intracranial bypass for intracranial atherosclerosis,IPG596,08-Nov-17,08-Nov-17
HTG EdgeSeq ALKPlus Assay EU for ALK status testing in non-small-cell lung cancer,MIB128,07-Nov-17,07-Nov-17
Familial hypercholesterolaemia,QS41,13-Aug-13,02-Nov-17
Sarilumab for moderate to severe rheumatoid arthritis,TA485,01-Nov-17,01-Nov-17
Aflibercept for treating choroidal neovascularisation,TA486,01-Nov-17,01-Nov-17
Radiation dose monitoring software for medical imaging with ionising radiation,MIB127,31-Oct-17,31-Oct-17
Sinusitis (acute): antimicrobial prescribing,NG79,27-Oct-17,27-Oct-17
Cataracts in adults: management,NG77,26-Oct-17,26-Oct-17
Cystic fibrosis: diagnosis and management,NG78,25-Oct-17,25-Oct-17
Hepatitis B (chronic): diagnosis and management,CG165,26-Jun-13,20-Oct-17
PleuraFlow Active Clearance Technology for maintaining chest tube patency,MIB125,16-Oct-17,16-Oct-17
Tofacitinib for moderate to severe rheumatoid arthritis,TA480,11-Oct-17,11-Oct-17
Immunosuppressive therapy for kidney transplant in adults,TA481,11-Oct-17,11-Oct-17
Immunosuppressive therapy for kidney transplant in children and young people,TA482,11-Oct-17,11-Oct-17
Cerebral palsy in children and young people,QS162,10-Oct-17,10-Oct-17
Child maltreatment: when to suspect maltreatment in under 18s,CG89,22-Jul-09,09-Oct-17
Child abuse and neglect,NG76,09-Oct-17,09-Oct-17
Autologous chondrocyte implantation for treating symptomatic articular cartilage defects of the knee,TA477,04-Oct-17,04-Oct-17
Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,TA478,04-Oct-17,04-Oct-17
Reslizumab for treating severe eosinophilic asthma,TA479,04-Oct-17,04-Oct-17
Thora-3Di for assessing asthma in children,MIB122,02-Oct-17,02-Oct-17
"Memokath-028, 044 and 045 stents for urethral obstruction",MIB123,02-Oct-17,02-Oct-17
FreeStyle Libre for glucose monitoring,MIB110,03-Jul-17,29-Sep-17
Intramuscular diaphragm stimulation for ventilator-dependent chronic respiratory failure caused by motor neurone disease,IPG593,27-Sep-17,27-Sep-17
Faltering growth: recognition and management of faltering growth in children,NG75,27-Sep-17,27-Sep-17
Cetuximab and panitumumab for previously untreated metastatic colorectal cancer,TA439,29-Mar-17,25-Sep-17
Intermediate care including reablement,NG74,22-Sep-17,22-Sep-17
Caris Molecular Intelligence for guiding cancer treatment,MIB120,20-Sep-17,20-Sep-17
Type 2 diabetes: prevention in people at high risk,PH38,12-Jul-12,15-Sep-17
Aptiva for painful diabetic neuropathy,MIB119,13-Sep-17,13-Sep-17
Ab externo canaloplasty for primary open-angle glaucoma,IPG591,13-Sep-17,13-Sep-17
High-intensity focused ultrasound for symptomatic breast fibroadenoma,IPG592,13-Sep-17,13-Sep-17
Pembrolizumab for advanced melanoma not previously treated with ipilimumab,TA366,25-Nov-15,12-Sep-17
Pembrolizumab for treating PD-L1-positive non-small-cell lung cancer after chemotherapy,TA428,11-Jan-17,12-Sep-17
Pembrolizumab for treating advanced melanoma after disease progression with ipilimumab,TA357,07-Oct-15,12-Sep-17
Transition between inpatient mental health settings and community or care home settings,QS159,12-Sep-17,12-Sep-17
"End of life care for infants, children and young people",QS160,12-Sep-17,12-Sep-17
Physical health of people in prisons,QS156,07-Sep-17,07-Sep-17
HIV testing: encouraging uptake,QS157,07-Sep-17,07-Sep-17
Rehabilitation after critical illness in adults,QS158,07-Sep-17,07-Sep-17
Sorafenib for treating advanced hepatocellular carcinoma,TA474,06-Sep-17,06-Sep-17
Dimethyl fumarate for treating moderate to severe plaque psoriasis,TA475,06-Sep-17,06-Sep-17
Paclitaxel as albumin-bound nanoparticles with gemcitabine for untreated metastatic pancreatic cancer,TA476,06-Sep-17,06-Sep-17
Fertility problems: assessment and treatment,CG156,20-Feb-13,06-Sep-17
Psoriasis: assessment and management,CG153,24-Oct-12,01-Sep-17
Cetuximab for treating recurrent or metastatic squamous cell cancer of the head and neck,TA473,31-Aug-17,31-Aug-17
Fungitell for antifungal treatment stratification,MIB118,31-Aug-17,31-Aug-17
Vitamin D: supplement use in specific population groups,PH56,26-Nov-14,30-Aug-17
Methylnaltrexone bromide for treating opioid-induced constipation (terminated appraisal),TA468,23-Aug-17,23-Aug-17
Idelalisib with ofatumumab for treating chronic lymphocytic leukaemia (terminated appraisal),TA469,23-Aug-17,23-Aug-17
Radiofrequency treatment for haemorrhoids,IPG589,23-Aug-17,23-Aug-17
Holoclar for treating limbal stem cell deficiency after eye burns,TA467,16-Aug-17,16-Aug-17
Pemetrexed for the maintenance treatment of non-small-cell lung cancer,TA190,23-Jun-10,10-Aug-17
Cabozantinib for previously treated advanced renal cell carcinoma,TA463,09-Aug-17,09-Aug-17
Baricitinib for moderate to severe rheumatoid arthritis,TA466,09-Aug-17,09-Aug-17
Biopatch for venous or arterial catheter sites,MIB117,09-Aug-17,09-Aug-17
Developmental follow-up of children and young people born preterm,NG72,09-Aug-17,09-Aug-17
Urethrotech UCD for difficult or failed catheterisation,MIB116,07-Aug-17,07-Aug-17
moorLDI2-BI: a laser doppler blood flow imager for burn wound assessment,MTG2,25-Mar-11,07-Aug-17
"Nutrition support for adults: oral nutrition support, enteral tube feeding and parenteral nutrition",CG32,22-Feb-06,04-Aug-17
VEST external stent for coronary artery bypass grafts,MIB115,02-Aug-17,02-Aug-17
Chronic kidney disease in adults,QS5,30-Mar-11,27-Jul-17
Low back pain and sciatica in over 16s,QS155,27-Jul-17,27-Jul-17
Adalimumab and dexamethasone for treating non-infectious uveitis,TA460,26-Jul-17,26-Jul-17
Roflumilast for treating chronic obstructive pulmonary disease,TA461,26-Jul-17,26-Jul-17
Nivolumab for treating relapsed or refractory classical Hodgkin lymphoma,TA462,26-Jul-17,26-Jul-17
Transcatheter aortic valve implantation for aortic stenosis,IPG586,26-Jul-17,26-Jul-17
Nasal Alar SpO2 sensor for monitoring oxygen saturation by pulse oximetry,MIB113,24-Jul-17,24-Jul-17
Parkinson's disease in adults,NG71,19-Jul-17,19-Jul-17
Arctic Sun 5000 for therapeutic hypothermia after cardiac arrest,MIB112,18-Jul-17,18-Jul-17
Constipation in children and young people: diagnosis and management,CG99,26-May-10,13-Jul-17
"Adalimumab, etanercept and ustekinumab for treating plaque psoriasis in children and young people",TA455,12-Jul-17,12-Jul-17
Ustekinumab for moderately to severely active Crohn's disease after previous treatment,TA456,12-Jul-17,12-Jul-17
"New generation cardiac CT scanners (Aquilion ONE, Brilliance iCT, Discovery CT750 HD and Somatom Definition Flash) for cardiac imaging in people with suspected or known coronary artery disease in whom imaging is difficult with earlier generation CT scanners",DG3,25-Jan-12,06-Jul-17
Aquilion PRIME CT scanner for imaging coronary artery disease in adults in whom imaging is difficult,MIB53,01-Mar-16,06-Jul-17
Somatom Definition Edge CT scanner for imaging coronary artery disease in adults in whom imaging is difficult,MIB54,01-Mar-16,06-Jul-17
Ibrutinib for untreated chronic lymphocytic leukaemia without a 17p deletion or TP53 mutation (terminated appraisal),TA452,05-Jul-17,05-Jul-17
Bortezomib for treating multiple myeloma after second or subsequent relapse (terminated appraisal),TA453,05-Jul-17,05-Jul-17
Daratumumab with lenalidomide and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),TA454,05-Jul-17,05-Jul-17
L-Dex U400 for lymphoedema after breast cancer treatment,MIB111,04-Jul-17,04-Jul-17
Air pollution: outdoor air quality and health,NG70,30-Jun-17,30-Jun-17
Liver disease,QS152,29-Jun-17,29-Jun-17
Multimorbidity,QS153,29-Jun-17,29-Jun-17
Violent and aggressive behaviours in people with mental health problems,QS154,29-Jun-17,29-Jun-17
Etelcalcetide for treating secondary hyperparathyroidism,TA448,28-Jun-17,28-Jun-17
Everolimus and sunitinib for treating unresectable or metastatic neuroendocrine tumours in people with progressive disease,TA449,28-Jun-17,28-Jun-17
Blinatumomab for previously treated Philadelphia-chromosome-negative acute lymphoblastic leukaemia,TA450,28-Jun-17,28-Jun-17
Ponatinib for treating chronic myeloid leukaemia and acute lymphoblastic leukaemia,TA451,28-Jun-17,28-Jun-17
Eliglustat for treating type 1 Gaucher disease,HST5,28-Jun-17,28-Jun-17
Infracoccygeal sacropexy using mesh to repair vaginal vault prolapse,IPG581,28-Jun-17,28-Jun-17
Infracoccygeal sacropexy using mesh to repair uterine prolapse,IPG582,28-Jun-17,28-Jun-17
Sacrocolpopexy using mesh to repair vaginal vault prolapse,IPG583,28-Jun-17,28-Jun-17
Uterine suspension using mesh (including sacrohysteropexy) to repair uterine prolapse,IPG584,28-Jun-17,28-Jun-17
Multiple frequency bioimpedance devices to guide fluid management in people with chronic kidney disease having dialysis,DG29,21-Jun-17,21-Jun-17
RIDASCREEN tests for monitoring infliximab in inflammatory bowel disease,MIB109,20-Jun-17,20-Jun-17
Neo Pedicle Screw System for spinal fusion surgery,MIB108,13-Jun-17,13-Jun-17
Oral health in care homes,QS151,07-Jun-17,07-Jun-17
SecurAcath for securing cerebrospinal fluid catheters,MIB107,05-Jun-17,05-Jun-17
Spondyloarthritis in over 16s: diagnosis and management,NG65,28-Feb-17,02-Jun-17
Haematological cancers,QS150,01-Jun-17,01-Jun-17
Bindex for investigating suspected osteoporosis,MIB106,31-May-17,31-May-17
Afatinib for treating advanced squamous non-small-cell lung cancer after platinum-based chemotherapy (terminated appraisal),TA444,24-May-17,24-May-17
Certolizumab pegol and secukinumab for treating active psoriatic arthritis after inadequate response to DMARDs,TA445,24-May-17,24-May-17
Endoscopic full thickness removal of non-lifting colonic polyps,IPG580,24-May-17,24-May-17
Idiopathic pulmonary fibrosis in adults: diagnosis and management,CG163,12-Jun-13,23-May-17
Permacol for treating anal fistulae,MIB105,23-May-17,23-May-17
NaviCam for diagnosing gastrointestinal tract conditions,MIB104,11-May-17,11-May-17
Virtual chromoendoscopy to assess colorectal polyps during colonoscopy,DG28,10-May-17,10-May-17
Intravenous fluid therapy in adults in hospital,CG174,10-Dec-13,05-May-17
Irreversible electroporation for treating pancreatic cancer,IPG579,03-May-17,03-May-17
Hemosep for cell salvage,MIB103,03-May-17,03-May-17
Osteoporosis,QS149,28-Apr-17,28-Apr-17
Pegylated liposomal irinotecan for treating pancreatic cancer after gemcitabine,TA440,26-Apr-17,26-Apr-17
Ixekizumab for treating moderate to severe plaque psoriasis,TA442,26-Apr-17,26-Apr-17
Obeticholic acid for treating primary biliary cholangitis,TA443,26-Apr-17,26-Apr-17
VAAFT for treating anal fistulae,MIB102,20-Apr-17,20-Apr-17
Antisocial behaviour and conduct disorders in children and young people: recognition and management,CG158,27-Mar-13,19-Apr-17
Alcohol-use disorders: diagnosis and management of physical complications,CG100,02-Jun-10,12-Apr-17
Sexually transmitted infections: condom distribution schemes,NG68,06-Apr-17,06-Apr-17
Minimally invasive sacroiliac joint fusion surgery for chronic sacroiliac pain,IPG578,05-Apr-17,05-Apr-17
Irritable bowel syndrome in adults: diagnosis and management,CG61,23-Feb-08,04-Apr-17
Managing medicines for adults receiving social care in the community,NG67,30-Mar-17,30-Mar-17
Alectinib for previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer (terminated appraisal),TA438,29-Mar-17,29-Mar-17
Panitumumab in combination with chemotherapy for the treatment of metastatic colorectal cancer (terminated appraisal),TA240,14-Dec-11,29-Mar-17
Mitochondrial disorders in children: Co-enzyme Q10,ES11,28-Mar-17,28-Mar-17
Mollii suit for spasticity,MIB100,28-Mar-17,28-Mar-17
Bair Hugger for measuring core temperature during perioperative care,MIB99,28-Mar-17,28-Mar-17
Patient group directions,MPG2,02-Aug-13,27-Mar-17
Bevacizumab for treating EGFR mutation-positive non-small-cell lung cancer (terminated appraisal),TA436,22-Mar-17,22-Mar-17
Ibrutinib with bendamustine and rituximab for treating relapsed or refractory chronic lymphocytic leukaemia after systemic therapy (terminated appraisal),TA437,22-Mar-17,22-Mar-17
Elotuzumab for previously treated multiple myeloma (terminated appraisal),TA434,22-Mar-17,22-Mar-17
Tenofovir alafenamide for treating chronic hepatitis B (terminated appraisal),TA435,22-Mar-17,22-Mar-17
Extraurethral (non-circumferential) retropubic adjustable compression devices for stress urinary incontinence in women,IPG576,22-Mar-17,22-Mar-17
Sacrocolpopexy with hysterectomy using mesh to repair uterine prolapse,IPG577,22-Mar-17,22-Mar-17
Hyperhidrosis: oxybutynin,ES10,21-Mar-17,21-Mar-17
Mental health of adults in contact with the criminal justice system,NG66,21-Mar-17,21-Mar-17
Narcolepsy with or without cataplexy in adults: pitolisant,ES8,14-Mar-17,14-Mar-17
Skin involvement in systemic sclerosis: rituximab,ES7,07-Mar-17,07-Mar-17
TopClosure Tension Relief System for wound closure,MIB97,07-Mar-17,07-Mar-17
SimpliCT laser-guided needle placement in interventional radiology,MIB98,07-Mar-17,07-Mar-17
Ustekinumab for treating active psoriatic arthritis,TA340,04-Jun-15,03-Mar-17
Ustekinumab for the treatment of adults with moderate to severe psoriasis,TA180,23-Sep-09,03-Mar-17
Head and neck cancer,QS146,03-Mar-17,03-Mar-17
Healthy workplaces: improving employee mental and physical health and wellbeing,QS147,03-Mar-17,03-Mar-17
Community engagement: improving health and wellbeing,QS148,03-Mar-17,03-Mar-17
Care of dying adults in the last days of life,QS144,02-Mar-17,02-Mar-17
Intrapartum care,QS105,10-Dec-15,28-Feb-17
Everolimus for advanced renal cell carcinoma after previous treatment,TA432,22-Feb-17,22-Feb-17
Apremilast for treating active psoriatic arthritis,TA433,22-Feb-17,22-Feb-17
Molecular testing strategies for Lynch syndrome in people with colorectal cancer,DG27,22-Feb-17,22-Feb-17
Migalastat for treating Fabry disease,HST4,22-Feb-17,22-Feb-17
Lateral interbody fusion in the lumbar spine for low back pain,IPG574,22-Feb-17,22-Feb-17
Trabecular stent bypass microsurgery for open-angle glaucoma,IPG575,22-Feb-17,22-Feb-17
Drug misuse prevention: targeted interventions,NG64,22-Feb-17,22-Feb-17
Healthcare-associated infections: prevention and control in primary and community care,CG139,28-Mar-12,15-Feb-17
Severe sialorrhoea (drooling) in children and young people with chronic neurological disorders: oral glycopyrronium bromide,ES5,14-Feb-17,14-Feb-17
Smart One for measuring lung function,MIB96,09-Feb-17,09-Feb-17
U-Drain for people needing night drainage of urine or dialysis fluid,MIB95,09-Feb-17,09-Feb-17
Menopause,QS143,09-Feb-17,09-Feb-17
HumiGard for preventing inadvertent perioperative hypothermia,MTG31,08-Feb-17,08-Feb-17
Osteoporosis: assessing the risk of fragility fracture,CG146,08-Aug-12,07-Feb-17
eazyplex SuperBug kits for detecting carbapenemase-producing organisms,MIB94,07-Feb-17,07-Feb-17
Stable angina,QS21,13-Aug-12,01-Feb-17
Falls in older people,QS86,25-Mar-15,31-Jan-17
Ibrutinib for previously treated chronic lymphocytic leukaemia and untreated chronic lymphocytic leukaemia with 17p deletion or TP53 mutation,TA429,25-Jan-17,25-Jan-17
Sofosbuvir–velpatasvir for treating chronic hepatitis C,TA430,25-Jan-17,25-Jan-17
Cerebral palsy in under 25s: assessment and management,NG62,25-Jan-17,25-Jan-17
Antimicrobial stewardship: changing risk-related behaviours in the general population,NG63,25-Jan-17,25-Jan-17
CentriMag for heart failure,MIB92,18-Jan-17,18-Jan-17
Ekso exoskeleton for rehabilitation in people with neurological weakness or paralysis,MIB93,18-Jan-17,18-Jan-17
Boston Keratoprosthesis Type I for corneal blindness,MIB91,18-Jan-17,18-Jan-17
Refractory extrapulmonary sarcoidosis: infliximab,ES4,17-Jan-17,17-Jan-17
Pomalidomide for multiple myeloma previously treated with lenalidomide and bortezomib,TA427,11-Jan-17,11-Jan-17
Smartinhaler for asthma,MIB90,11-Jan-17,11-Jan-17
Tuberculosis,QS141,10-Jan-17,10-Jan-17
Learning disability: identifying and managing mental health problems,QS142,10-Jan-17,10-Jan-17
Everolimus with exemestane for treating advanced breast cancer after endocrine therapy,TA421,21-Dec-16,21-Dec-16
Crizotinib for previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,TA422,21-Dec-16,21-Dec-16
Eribulin for treating locally advanced or metastatic breast cancer after 2 or more chemotherapy regimens,TA423,21-Dec-16,21-Dec-16
Pertuzumab for the neoadjuvant treatment of HER2-positive breast cancer,TA424,21-Dec-16,21-Dec-16
"Dasatinib, nilotinib and high-dose imatinib for treating imatinib-resistant or intolerant chronic myeloid leukaemia",TA425,21-Dec-16,21-Dec-16
"Dasatinib, nilotinib and imatinib for untreated chronic myeloid leukaemia",TA426,21-Dec-16,21-Dec-16
Organ donation for transplantation: improving donor identification and consent rates for deceased organ donation,CG135,12-Dec-11,21-Dec-16
Extracorporeal shockwave therapy for Achilles tendinopathy,IPG571,21-Dec-16,21-Dec-16
Radiation therapy for early Dupuytren's disease,IPG573,21-Dec-16,21-Dec-16
Pulmonary sarcoidosis: infliximab,ES2,20-Dec-16,20-Dec-16
Blood transfusion,QS138,15-Dec-16,15-Dec-16
Oral health promotion in the community,QS139,15-Dec-16,15-Dec-16
Ticagrelor for preventing atherothrombotic events after myocardial infarction,TA420,14-Dec-16,14-Dec-16
Hypothermia: prevention and management in adults having surgery,CG65,23-Apr-08,14-Dec-16
Epiduroscopic lumbar discectomy through the sacral hiatus for sciatica,IPG570,14-Dec-16,14-Dec-16
XprESS multi sinus dilation system for treating chronic sinusitis,MTG30,13-Dec-16,13-Dec-16
CORTRAK 2 Enteral Access System for placing nasoenteral feeding tubes,MIB48,22-Jan-16,09-Dec-16
Mental wellbeing and independence for older people,QS137,05-Dec-16,05-Dec-16
HIV testing: increasing uptake among people who may have undiagnosed HIV,NG60,01-Dec-16,01-Dec-16
Transition between inpatient hospital settings and community or care home settings for adults with social care needs,QS136,01-Dec-16,01-Dec-16
Recent-onset chest pain of suspected cardiac origin: assessment and diagnosis,CG95,24-Mar-10,30-Nov-16
Coexisting severe mental illness and substance misuse: community health and social care services,NG58,30-Nov-16,30-Nov-16
Spasticity in under 19s: management,CG145,25-Jul-12,29-Nov-16
OCS Heart system for heart transplant,MIB86,29-Nov-16,29-Nov-16
CytoSorb therapy for sepsis,MIB87,29-Nov-16,29-Nov-16
Sternal Talon for sternal closure in cardiothoracic surgery,MIB88,29-Nov-16,29-Nov-16
Impella 2.5 for haemodynamic support during high-risk percutaneous coronary interventions,MIB89,29-Nov-16,29-Nov-16
Dapagliflozin in combination therapy for treating type 2 diabetes,TA288,26-Jun-13,23-Nov-16
Nivolumab for previously treated advanced renal cell carcinoma,TA417,23-Nov-16,23-Nov-16
Dapagliflozin in triple therapy for treating type 2 diabetes,TA418,23-Nov-16,23-Nov-16
Apremilast for treating moderate to severe plaque psoriasis,TA419,23-Nov-16,23-Nov-16
Endoscopic transluminal pancreatic necrosectomy,IPG567,23-Nov-16,23-Nov-16
Percutaneous insertion of craniocaudal expandable implants for vertebral compression fracture,IPG568,23-Nov-16,23-Nov-16
Single-anastomosis duodeno-ileal bypass with sleeve gastrectomy for treating morbid obesity,IPG569,23-Nov-16,23-Nov-16
High-throughput non-invasive prenatal testing for fetal RHD genotype,DG25,09-Nov-16,09-Nov-16
Minimal change disease and focal segmental glomerulosclerosis in adults: rituximab,ES1,04-Nov-16,04-Nov-16
Physical health of people in prison,NG57,02-Nov-16,02-Nov-16
Certolizumab pegol for treating rheumatoid arthritis after inadequate response to a TNF-alpha inhibitor,TA415,26-Oct-16,26-Oct-16
Elbasvir–grazoprevir for treating chronic hepatitis C,TA413,26-Oct-16,26-Oct-16
Cobimetinib in combination with vemurafenib for treating unresectable or metastatic BRAF V600 mutation-positive melanoma,TA414,26-Oct-16,26-Oct-16
Psychosis and schizophrenia in children and young people: recognition and management,CG155,23-Jan-13,26-Oct-16
Needle-free arterial non-injectable connector,MIB85,26-Oct-16,26-Oct-16
Coeliac disease,QS134,19-Oct-16,19-Oct-16
Single-incision short sling mesh insertion for stress urinary incontinence in women,IPG566,12-Oct-16,12-Oct-16
Children's attachment,QS133,12-Oct-16,12-Oct-16
Woundchek Protease Status for assessing elevated protease status in chronic wounds,MIB83,05-Oct-16,05-Oct-16
Necitumumab for untreated advanced or metastatic squamous non-small-cell lung cancer,TA411,28-Sep-16,28-Sep-16
Radium-223 dichloride for treating hormone-relapsed prostate cancer with bone metastases,TA412,28-Sep-16,28-Sep-16
Crizotinib for untreated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,TA406,28-Sep-16,28-Sep-16
Secukinumab for active ankylosing spondylitis after treatment with non-steroidal anti-inflammatory drugs or TNF-alpha inhibitors,TA407,28-Sep-16,28-Sep-16
Pegaspargase for treating acute lymphoblastic leukaemia,TA408,28-Sep-16,28-Sep-16
Aflibercept for treating visual impairment caused by macular oedema after branch retinal vein occlusion,TA409,28-Sep-16,28-Sep-16
Talimogene laherparepvec for treating unresectable metastatic melanoma,TA410,28-Sep-16,28-Sep-16
Miniature lens system implantation for advanced age-related macular degeneration,IPG565,28-Sep-16,28-Sep-16
Multimorbidity: clinical assessment and management,NG56,21-Sep-16,21-Sep-16
Intravenous fluid therapy in children and young people in hospital,QS131,21-Sep-16,21-Sep-16
Social care for older people with multiple long-term conditions,QS132,21-Sep-16,21-Sep-16
Harmful sexual behaviour among children and young people,NG55,20-Sep-16,20-Sep-16
QuikRead go for C-reactive protein testing in primary care,MIB78,14-Sep-16,14-Sep-16
FLEXISEQ for osteoarthritis,MIB80,14-Sep-16,14-Sep-16
Alere Afinion CRP for C-reactive protein testing in primary care,MIB81,14-Sep-16,14-Sep-16
"Mental health problems in people with learning disabilities: prevention, assessment and management",NG54,14-Sep-16,14-Sep-16
Contraception,QS129,08-Sep-16,08-Sep-16
Transition between inpatient mental health settings and community or care home settings,NG53,30-Aug-16,30-Aug-16
Stable angina: management,CG126,23-Jul-11,25-Aug-16
Acute upper gastrointestinal bleeding in over 16s: management,CG141,13-Jun-12,25-Aug-16
Bosutinib for previously treated chronic myeloid leukaemia,TA401,24-Aug-16,24-Aug-16
Pemetrexed maintenance treatment for non-squamous non-small-cell lung cancer after pemetrexed and cisplatin,TA402,24-Aug-16,24-Aug-16
Ramucirumab for previously treated locally advanced or metastatic non-small-cell lung cancer,TA403,24-Aug-16,24-Aug-16
Degarelix for treating advanced hormone-dependent prostate cancer,TA404,24-Aug-16,24-Aug-16
Trifluridine–tipiracil for previously treated metastatic colorectal cancer,TA405,24-Aug-16,24-Aug-16
Cabazitaxel for hormone-relapsed metastatic prostate cancer treated with docetaxel,TA391,25-May-16,24-Aug-16
Axxent electronic brachytherapy system for early stage breast cancer,MIB76,24-Aug-16,24-Aug-16
OSNA for colon cancer staging,MIB77,24-Aug-16,24-Aug-16
Early years: promoting health and wellbeing in under 5s,QS128,11-Aug-16,11-Aug-16
Obesity: clinical assessment and management,QS127,04-Aug-16,04-Aug-16
Palliative care for adults: strong opioids for pain relief,CG140,23-May-12,03-Aug-16
Abiraterone for castration-resistant metastatic prostate cancer previously treated with a docetaxel-containing regimen,TA259,27-Jun-12,27-Jul-16
Azacitidine for treating acute myeloid leukaemia with more than 30% bone marrow blasts,TA399,27-Jul-16,27-Jul-16
Nivolumab in combination with ipilimumab for treating advanced melanoma,TA400,27-Jul-16,27-Jul-16
Abiraterone for treating metastatic hormone-relapsed prostate cancer before chemotherapy is indicated,TA387,27-Apr-16,27-Jul-16
Percutaneous endoscopic laser balloon pulmonary vein isolation for atrial fibrillation,IPG563,27-Jul-16,27-Jul-16
Motor neurone disease,QS126,27-Jul-16,27-Jul-16
QTUG for assessing falls risk and frailty,MIB73,26-Jul-16,26-Jul-16
